path,file,round,subject,session,task
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1213_S1_1_VRG.csv,S_1213_S1_1_VRG.csv,1,213,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1440_S1_1_VRG.csv,S_1440_S1_1_VRG.csv,1,440,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1214_S2_1_VRG.csv,S_1214_S2_1_VRG.csv,1,214,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1339_S1_1_VRG.csv,S_1339_S1_1_VRG.csv,1,339,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1430_S2_1_VRG.csv,S_1430_S2_1_VRG.csv,1,430,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1405_S2_1_VRG.csv,S_1405_S2_1_VRG.csv,1,405,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1280_S2_1_VRG.csv,S_1280_S2_1_VRG.csv,1,280,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1073_S2_1_VRG.csv,S_1073_S2_1_VRG.csv,1,73,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3244_S1_1_VRG.csv,S_3244_S1_1_VRG.csv,3,244,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3092_S2_1_VRG.csv,S_3092_S2_1_VRG.csv,3,92,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1243_S2_1_VRG.csv,S_1243_S2_1_VRG.csv,1,243,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1310_S2_1_VRG.csv,S_1310_S2_1_VRG.csv,1,310,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1127_S1_1_VRG.csv,S_1127_S1_1_VRG.csv,1,127,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1388_S1_1_VRG.csv,S_1388_S1_1_VRG.csv,1,388,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1296_S1_1_VRG.csv,S_1296_S1_1_VRG.csv,1,296,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1117_S1_1_VRG.csv,S_1117_S1_1_VRG.csv,1,117,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1325_S1_1_VRG.csv,S_1325_S1_1_VRG.csv,1,325,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1117_S2_1_VRG.csv,S_1117_S2_1_VRG.csv,1,117,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1445_S2_1_VRG.csv,S_1445_S2_1_VRG.csv,1,445,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1020_S1_1_VRG.csv,S_1020_S1_1_VRG.csv,1,20,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1011_S2_1_VRG.csv,S_1011_S2_1_VRG.csv,1,11,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1223_S1_1_VRG.csv,S_1223_S1_1_VRG.csv,1,223,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1165_S1_1_VRG.csv,S_1165_S1_1_VRG.csv,1,165,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1364_S1_1_VRG.csv,S_1364_S1_1_VRG.csv,1,364,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1232_S1_1_VRG.csv,S_1232_S1_1_VRG.csv,1,232,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1122_S1_1_VRG.csv,S_1122_S1_1_VRG.csv,1,122,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1128_S2_1_VRG.csv,S_1128_S2_1_VRG.csv,1,128,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3075_S2_1_VRG.csv,S_3075_S2_1_VRG.csv,3,75,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1057_S2_1_VRG.csv,S_1057_S2_1_VRG.csv,1,57,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1320_S2_1_VRG.csv,S_1320_S2_1_VRG.csv,1,320,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1198_S1_1_VRG.csv,S_1198_S1_1_VRG.csv,1,198,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3089_S2_1_VRG.csv,S_3089_S2_1_VRG.csv,3,89,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3377_S2_1_VRG.csv,S_3377_S2_1_VRG.csv,3,377,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1098_S2_1_VRG.csv,S_1098_S2_1_VRG.csv,1,98,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1012_S2_1_VRG.csv,S_1012_S2_1_VRG.csv,1,12,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3362_S1_1_VRG.csv,S_3362_S1_1_VRG.csv,3,362,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_2137_S1_1_VRG.csv,S_2137_S1_1_VRG.csv,2,137,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1089_S1_1_VRG.csv,S_1089_S1_1_VRG.csv,1,89,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1005_S2_1_VRG.csv,S_1005_S2_1_VRG.csv,1,5,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1406_S1_1_VRG.csv,S_1406_S1_1_VRG.csv,1,406,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1122_S2_1_VRG.csv,S_1122_S2_1_VRG.csv,1,122,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1045_S2_1_VRG.csv,S_1045_S2_1_VRG.csv,1,45,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1248_S2_1_VRG.csv,S_1248_S2_1_VRG.csv,1,248,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1156_S2_1_VRG.csv,S_1156_S2_1_VRG.csv,1,156,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1397_S2_1_VRG.csv,S_1397_S2_1_VRG.csv,1,397,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1342_S1_1_VRG.csv,S_1342_S1_1_VRG.csv,1,342,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1051_S2_1_VRG.csv,S_1051_S2_1_VRG.csv,1,51,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3424_S1_1_VRG.csv,S_3424_S1_1_VRG.csv,3,424,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1333_S2_1_VRG.csv,S_1333_S2_1_VRG.csv,1,333,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1394_S2_1_VRG.csv,S_1394_S2_1_VRG.csv,1,394,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1267_S2_1_VRG.csv,S_1267_S2_1_VRG.csv,1,267,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1455_S1_1_VRG.csv,S_1455_S1_1_VRG.csv,1,455,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1369_S2_1_VRG.csv,S_1369_S2_1_VRG.csv,1,369,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1218_S2_1_VRG.csv,S_1218_S2_1_VRG.csv,1,218,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1360_S1_1_VRG.csv,S_1360_S1_1_VRG.csv,1,360,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1048_S2_1_VRG.csv,S_1048_S2_1_VRG.csv,1,48,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1196_S1_1_VRG.csv,S_1196_S1_1_VRG.csv,1,196,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3284_S2_1_VRG.csv,S_3284_S2_1_VRG.csv,3,284,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1139_S2_1_VRG.csv,S_1139_S2_1_VRG.csv,1,139,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1321_S1_1_VRG.csv,S_1321_S1_1_VRG.csv,1,321,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1101_S1_1_VRG.csv,S_1101_S1_1_VRG.csv,1,101,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1022_S1_1_VRG.csv,S_1022_S1_1_VRG.csv,1,22,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_2308_S1_1_VRG.csv,S_2308_S1_1_VRG.csv,2,308,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1220_S1_1_VRG.csv,S_1220_S1_1_VRG.csv,1,220,1,VRG
